"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"07.04.2014","2,1103","2,1145","2,1262","2,1057","","-0,15%"
"04.04.2014","2,1135","2,1341","2,1496","2,1061","","-0,90%"
"03.04.2014","2,1327","2,1307","2,1452","2,1243","","0,24%"
"02.04.2014","2,1276","2,1394","2,1531","2,1193","","-0,48%"
"01.04.2014","2,1378","2,1397","2,1567","2,1323","","-0,14%"
"31.03.2014","2,1407","2,1887","2,1887","2,1316","","-2,29%"
"28.03.2014","2,1909","2,1882","2,2012","2,1829","","0,17%"
"27.03.2014","2,1872","2,1952","2,2045","2,1735","","-0,22%"
"26.03.2014","2,1921","2,2217","2,2279","2,1902","","-1,10%"
"25.03.2014","2,2165","2,2419","2,2460","2,2165","","-0,93%"
"24.03.2014","2,2372","2,2373","2,2470","2,2329","","0,17%"
"21.03.2014","2,2335","2,2301","2,2457","2,2231","","0,18%"
"20.03.2014","2,2294","2,2422","2,2510","2,2261","","-0,48%"
"19.03.2014","2,2401","2,2191","2,2443","2,2142","","0,96%"
"18.03.2014","2,2188","2,2239","2,2359","2,2168","","-0,05%"
"17.03.2014","2,2198","2,2200","2,2311","2,2144","","0,31%"
"14.03.2014","2,2130","2,2341","2,2443","2,2099","","-0,88%"
"13.03.2014","2,2327","2,2331","2,2380","2,2171","","0,02%"
"12.03.2014","2,2323","2,2516","2,2642","2,2323","","-0,64%"
"11.03.2014","2,2466","2,2193","2,2475","2,2112","","1,26%"
"10.03.2014","2,2186","2,2042","2,2252","2,2012","","0,59%"
"07.03.2014","2,2055","2,1805","2,2077","2,1780","","1,16%"
"06.03.2014","2,1803","2,2036","2,2092","2,1748","","-1,03%"
"05.03.2014","2,2031","2,2063","2,2132","2,1982","","-0,15%"
"04.03.2014","2,2065","2,2321","2,2324","2,2022","","-1,15%"
"03.03.2014","2,2321","2,2016","2,2352","2,2016","","1,03%"
"28.02.2014","2,2093","2,2129","2,2247","2,2004","","-0,20%"
"27.02.2014","2,2138","2,2264","2,2477","2,2110","","-0,63%"
"26.02.2014","2,2279","2,2127","2,2548","2,1968","","0,71%"
"25.02.2014","2,2122","2,2058","2,2261","2,1926","","0,46%"
"24.02.2014","2,2021","2,1806","2,2027","2,1688","","1,07%"
"21.02.2014","2,1787","2,2026","2,2075","2,1750","","-1,03%"
"20.02.2014","2,2013","2,2136","2,2213","2,1940","","-0,60%"
"19.02.2014","2,2145","2,1809","2,2166","2,1730","","1,56%"
"18.02.2014","2,1804","2,1810","2,1911","2,1753","","0,17%"
"17.02.2014","2,1767","2,1839","2,1940","2,1750","","-0,20%"
"14.02.2014","2,1810","2,1843","2,1991","2,1757","","-0,21%"
"13.02.2014","2,1856","2,1930","2,2122","2,1847","","-0,32%"
"12.02.2014","2,1926","2,1929","2,2022","2,1772","","-0,03%"
"11.02.2014","2,1932","2,2167","2,2242","2,1915","","-1,10%"
"10.02.2014","2,2176","2,2246","2,2391","2,2092","","-0,10%"
"07.02.2014","2,2199","2,2129","2,2289","2,1889","","0,47%"
"06.02.2014","2,2096","2,2380","2,2387","2,2022","","-1,30%"
"05.02.2014","2,2386","2,2374","2,2534","2,2303","","0,03%"
"04.02.2014","2,2380","2,2830","2,2862","2,2347","","-1,95%"
"03.02.2014","2,2824","2,2545","2,2859","2,2544","","0,96%"
"31.01.2014","2,2607","2,2665","2,2962","2,2402","","-0,38%"
"30.01.2014","2,2693","2,2617","2,3027","2,2397","","0,38%"
"29.01.2014","2,2607","2,2503","2,3197","2,1646","","0,39%"
"28.01.2014","2,2520","2,2853","2,2900","2,2505","","-1,36%"
"27.01.2014","2,2830","2,3334","2,3930","2,2828","","-2,08%"
"24.01.2014","2,3315","2,2934","2,3392","2,2843","","1,69%"
"23.01.2014","2,2928","2,2589","2,3048","2,2575","","1,53%"
"22.01.2014","2,2582","2,2516","2,2687","2,2352","","0,29%"
"21.01.2014","2,2517","2,2410","2,2710","2,2346","","0,51%"
"20.01.2014","2,2403","2,2326","2,2529","2,2306","","0,39%"
"17.01.2014","2,2317","2,2098","2,2355","2,2043","","1,12%"
"16.01.2014","2,2069","2,1923","2,2157","2,1904","","0,71%"
"15.01.2014","2,1913","2,1864","2,2011","2,1831","","0,34%"
"14.01.2014","2,1838","2,1794","2,1989","2,1775","","0,20%"
"13.01.2014","2,1795","2,1644","2,1881","2,1621","","0,67%"
"10.01.2014","2,1650","2,1785","2,1831","2,1570","","-0,60%"
"09.01.2014","2,1780","2,1862","2,1948","2,1768","","-0,35%"
"08.01.2014","2,1856","2,1694","2,1885","2,1607","","0,82%"
"07.01.2014","2,1678","2,1731","2,1842","2,1572","","-0,17%"
"06.01.2014","2,1715","2,1757","2,1955","2,1700","","-0,32%"
"03.01.2014","2,1785","2,1713","2,1835","2,1610","","0,33%"
"02.01.2014","2,1713","2,1481","2,1900","2,1456","","1,07%"
"01.01.2014","2,1483","2,1447","2,1483","2,1447","","0,12%"
